AREA;VARIEDADE;DATA DE PODA;DATA DA AMOSTRA;DIAS_POS_PODA;TEXTO DATA;ESTADO DO ENGACO;COLORACAO DO CACHO;BRIX ACIMA DO IDEAL;BRIX DO SUCO;ACIDEZ;BRIX;DIAMETRO
A04 V1;RED GLOBE;;14/12/2017;43083;14/12/2017;MADURO;ROSADA;0,52;13,4;0,55;13,6;
A04 V2;RED GLOBE;;14/12/2017;43083;14/12/2017;MADURO;ROSADA;0,3;13,8;0,53;13,1;
A07 V1;ARRA 15;;26/12/2017;43095;26/12/2017;MADURO;¶MBAR;;17;16,8;1,03;
B14 V1;CRIMSON;;26/12/2017;43095;26/12/2017;MADURO;MESCLADA;;18;0,79;18;
A07 V1;ARRA 15;;11/01/2018;43111;11/01/2018;MADURO;¶MBAR;;19;18;0,75;
A15 V2;RED GLOBE;;15/01/2018;43115;15/01/2018;MADURO;ROSADA;;14;13,6;0,57;
B14 V2;CRIMSON;;15/01/2018;43115;15/01/2018;MADURO;ROSADA;;15,8;15;0,88;
A07 V2;ARRA 15;;18/01/2018;43118;18/01/2018;MADURO;¶MBAR;;16;15,9;1,11;
A07 V2;ARRA 15;;26/01/2018;43126;26/01/2018;MADURO;¶MBAR;;18,2;17;0,82;
B10 V1;ARRA 15;;26/01/2018;43126;26/01/2018;MADURO;¶MBAR;;17,4;16,3;1,1;
A01 V1;ARRA 15;;01/02/2018;43132;01/02/2018;MADURO;¶MBAR;;16,7;15,6;1,17;
B10 V1;ARRA 15;;01/02/2018;43132;01/02/2018;MADURO;¶MBAR;;17,6;16,5;1,02;
A01 V2;ARRA 15;;09/02/2018;43140;09/02/2018;MADURO;¶MBAR;;16,8;16,7;0,85;
B12  V1;ARRA 15;;09/02/2018;43140;09/02/2018;MADURO;¶MBAR;;13,6;13,2;1,5;
B12 V2;ARRA 15;;09/02/2018;43140;09/02/2018;MADURO;¶MBAR;;13,2;13;1,56;
A01 V2;ARRA 15;03/11/2017;12/02/2018;101;12/02/2018;MADURO;¶MBAR;0,67;18;0,97;17,1;
A06 V1 E V2;ARRA 15;23/11/2017;13/02/2018;82;13/02/2018;MADURO;VERDE;0,02;15;1,5;13,8;
A06 V3 E V4;ARRA 15;23/11/2017;13/02/2018;82;13/02/2018;MADURO;VERDE;0;15;1,4;14;
B 12 V 1;ARRA 15;20/11/2017;14/02/2018;86;14/02/2018;MADURO;VERDE;0,05;16;1,3;15;
B 12 V 2;ARRA 15;20/11/2017;14/02/2018;86;14/02/2018;MADURO;VERDE;0,02;15;1,6;14,4;
A06 V1 E V2;ARRA 15;23/11/2017;19/02/2018;88;19/02/2018;MADURO;¶MBAR;0,39;16,6;1,3;16,4;
A06 V3 E V4;ARRA 15;23/11/2017;19/02/2018;88;19/02/2018;MADURO;¶MBAR;0,32;17;1,1;16,2;
B12 V1;ARRA 15;20/11/2017;19/02/2018;91;19/02/2018;MADURO;¶MBAR;0,35;17;1,1;16,4;
B12 V2;ARRA 15;20/11/2017;19/02/2018;91;19/02/2018;MADURO;¶MBAR;0,33;16,4;1,3;15,8;
A06 V1 E V2;ARRA 15;23/11/2017;23/02/2018;92;23/02/2018;MADURO;¶MBAR;0,52;17;1;16,5;
A06 V3 E V4;ARRA 15;23/11/2017;23/02/2018;92;23/02/2018;MADURO;¶MBAR;0,63;17;1;16,8;
B12 V 1;ARRA 15;20/11/2017;23/02/2018;95;23/02/2018;MADURO;¶MBAR;0,47;17;1;16,8;
B12 V2;ARRA 15;20/11/2017;23/02/2018;95;23/02/2018;MADURO;¶MBAR;0,43;16,8;1;16,5;
A06 V1 E V2;ARRA 15;23/11/2017;27/02/2018;96;27/02/2018;MADURO;¶MBAR;0,98;18,8;0,8;18,7;
A06 V1 E V2;ARRA 15;23/11/2017;27/02/2018;96;27/02/2018;MADURO;¶MBAR;0,77;16,2;1;17,5;
A06 V3 E V4;ARRA 15;23/11/2017;27/02/2018;96;27/02/2018;MADURO;¶MBAR;0,95;18,3;1;18,3;
A06 V3 E V4;ARRA 15;23/11/2017;27/02/2018;96;27/02/2018;MADURO;¶MBAR;0,87;17,2;1;17,9;
B12 V 1;ARRA 15;20/11/2017;27/02/2018;99;27/02/2018;MADURO;¶MBAR;0,57;17;0,98;16,9;
B12 V1;ARRA 15;20/11/2017;27/02/2018;99;27/02/2018;MADURO;¶MBAR;0,82;18,2;0,9;17,7;
B12 V2;ARRA 15;20/11/2017;27/02/2018;99;27/02/2018;MADURO;¶MBAR;0,67;16,8;1;16,9;
B12 V2;ARRA 15;20/11/2017;27/02/2018;99;27/02/2018;MADURO;¶MBAR;0,68;18;0,87;17,4;
A09 V1;ARRA 15;18/12/2017;13/03/2018;85;13/03/2018;MADURO;¶MBAR;0,02;14,2;1,3;13;
A09 V2;ARRA 15;18/12/2017;13/03/2018;85;13/03/2018;MADURO;¶MBAR;0;14,2;1,4;12,8;
A09 V1 E V2;ARRA 15;18/12/2017;16/03/2018;88;16/03/2018;MADURO;¶MBAR;0,02;14,4;1,1;14,1;
A09 V1 E V2;ARRA 15;18/12/2017;19/03/2018;91;19/03/2018;MADURO;¶MBAR;0,2;15;1;14,8;
A09 V3 E V4;ARRA 15;26/12/2017;19/03/2018;83;19/03/2018;MADURO;¶MBAR;0,07;14,6;1,5;13,4;
A09 V1 E V2;ARRA 15;18/12/2017;22/03/2018;94;22/03/2018;MADURO;¶MBAR;0,22;16;0,88;15,9;
A09 V3 E V4;ARRA 15;26/12/2017;22/03/2018;86;22/03/2018;MADURO;¶MBAR;0,03;14,4;1,5;13,9;
A09 V3 E V4;ARRA 15;26/12/2017;27/03/2018;91;27/03/2018;MADURO;¶MBAR;0,08;15,4;1,1;14,8;
A10 V1;ARRA 15;02/01/2018;28/03/2018;85;28/03/2018;MADURO;VERDE;0;13,4;1,5;12,1;
A10 V2;ARRA 15;02/01/2018;28/03/2018;85;28/03/2018;MADURO;VERDE;0;13,6;1,2;12,1;
B6 V 1 V 2;ARRA 15;12/01/2018;02/04/2018;80;02/04/2018;MADURO;VERDE;0;10;2,25;11,2;
A10 V1 E V2;ARRA 15;02/01/2018;05/04/2018;93;05/04/2018;MADURO;¶MBAR;0,13;16;0,99;15,4;
A09 V3 E V4;ARRA 15;26/12/2017;05/04/2018;100;05/04/2018;MADURO;¶MBAR;0,67;18;0,99;17,4;
B6 V 1 E 2;ARRA 15;09/01/2018;05/04/2018;86;05/04/2018;MADURO;¶MBAR;0;13;1,7;12,2;
A10 V1 E V2;ARRA 15;02/01/2018;10/04/2018;98;10/04/2018;MADURO;¶MBAR;0,28;16,6;0,87;15,9;
B6 V 1 E 2;ARRA 15;09/01/2018;10/04/2018;91;10/04/2018;MADURO;VERDE;0,02;13,8;1,3;13,1;
A10 V1;ARRA 15;02/01/2018;16/04/2018;104;16/04/2018;MADURO;¶MBAR;0,61;17,6;0,81;16,9;
B6 V 1 E 2;ARRA 15;09/01/2018;16/04/2018;97;16/04/2018;MADURO;¶MBAR;0,1;15;1,2;14,5;
A10 V2;ARRA 15;02/01/2018;17/04/2018;105;17/04/2018;MADURO;¶MBAR;;17,6;0,77;16,8;
B6 V1   E V2;ARRA 15;09/01/2018;17/04/2018;98;17/04/2018;MADURO;¶MBAR;;16;1;16,1;
B06 V1;ARRA 15;09/01/2018;18/04/2018;99;18/04/2018;MADURO;¶MBAR;;15,6;1,08;15;
B06 V2;ARRA 15;09/01/2018;18/04/2018;99;18/04/2018;MADURO;¶MBAR;;15,8;1,1;15,1;
B06 V1;ARRA 15;09/01/2018;19/04/2018;100;19/04/2018;MADURO;¶MBAR;;16;1,07;15,2;
B06 V2;ARRA 15;09/01/2018;19/04/2018;100;19/04/2018;MADURO;¶MBAR;0,08;16;1,11;15,9;
B08 V1;ARRA 15;19/01/2018;19/04/2018;90;19/04/2018;MADURO;VERDE;;13;1,8;12,4;
B08 V1;ARRA 15;19/01/2018;23/04/2018;94;23/04/2018;MADURO;VERDE;0;13,4;1,6;12,9;
B06 V1;ARRA 15;08/01/2018;26/04/2018;108;26/04/2018;MADURO;¶MBAR;0,93;18,6;0,9;18,3;
B06 V2;ARRA 15;12/01/2018;26/04/2018;104;26/04/2018;MADURO;¶MBAR;0,67;17,4;1;17,3;
B08 V1;ARRA 15;19/01/2018;26/04/2018;97;26/04/2018;MADURO;¶MBAR;0,05;15;1,4;14,2;
B08 V2;ARRA 15;23/01/2018;26/04/2018;93;26/04/2018;MADURO;¶MBAR;0,03;14;1,5;13,4;
B08 V1;ARRA 15;19/01/2018;30/04/2018;101;30/04/2018;MADURO;¶MBAR;0,08;15,4;1,3;14,4;
B08 V1;ARRA 15;19/01/2018;30/04/2018;101;30/04/2018;MADURO;¶MBAR;0,02;15,6;1,2;14,4;
B08 V2;ARRA 15;23/01/2018;30/04/2018;97;30/04/2018;MADURO;¶MBAR;0,05;15;1,27;14,1;
B08 V1;ARRA 15;19/01/2018;01/05/2018;102;01/05/2018;MADURO;¶MBAR;0,2;16;1,14;15,7;
A03 V1 E V2;ARRA 15;31/01/2018;02/05/2018;91;02/05/2018;MADURO;¶MBAR;0,2;15,2;1,56;15,5;
A03 V3 E V4 ;ARRA 15;01/02/2018;04/05/2018;92;04/05/2018;MADURO;¶MBAR;0,13;15,4;1,45;15,5;
A03 V1 E V2;ARRA 15;31/01/2018;04/05/2018;93;04/05/2018;MADURO;¶MBAR;0,12;15,8;1,38;15,7;
B08 V1;ARRA 15;19/01/2018;04/05/2018;105;04/05/2018;MADURO;¶MBAR;0,57;16,8;1,14;16,9;
B08 V2;ARRA 15;23/01/2018;04/05/2018;101;04/05/2018;MADURO;¶MBAR;0,38;16,8;1,05;16,1;
A03 V1 E V2;ARRA 15;31/01/2018;07/05/2018;96;07/05/2018;MADURO;¶MBAR;0,28;16;1,27;16,2;
B08 V2;ARRA 15;23/01/2018;07/05/2018;104;07/05/2018;MADURO;¶MBAR;0,67;17;1,08;17,3;
A03 V3 E V4;ARRA 15;01/02/2018;08/05/2018;96;08/05/2018;MADURO;¶MBAR;0,08;15,8;1,31;15,8;
B01 V1;BENITAKA M;15/01/2018;08/05/2018;113;08/05/2018;MADURO;VERMELHA;0,85;14,6;1,17;14,6;
A03 V1 E V2;ARRA 15;31/01/2018;18/05/2018;107;18/05/2018;MADURO;¶MBAR;0,92;17,4;1;17,8;
A03 V3 E V4;ARRA 15;01/02/2018;18/05/2018;106;18/05/2018;MADURO;¶MBAR;0,82;17,2;1,06;17,5;
B01 V1;BENITAKA M;15/01/2018;18/05/2018;123;18/05/2018;MADURO;VERMELHA;1;16;0,93;15,9;
B02 V1;BENITAKA M;17/01/2018;18/05/2018;121;18/05/2018;MADURO;VERMELHA;1;16;1,03;16,1;
B02 V2;BENITAKA M;25/01/2018;18/05/2018;113;18/05/2018;MADURO;VERMELHA;1;15,4;1,14;15,3;
A14 V2;BENITAKA M;29/01/2018;22/05/2018;113;22/05/2018;MADURO;VERMELHA;1;16,2;0,96;16,2;
A03 V3 E V4;ARRA 15;01/02/2018;22/05/2018;110;22/05/2018;MADURO;¶MBAR;0,88;17,8;0,97;17,7;
B01 V1;BENITAKA M;15/01/2018;22/05/2018;127;22/05/2018;MADURO;VERMELHA;0,98;16,8;0,89;16,3;
B02 V1;BENITAKA M;15/01/2018;22/05/2018;127;22/05/2018;MADURO;VERMELHA;0,98;16;0,96;16,5;
B02 V2;BENITAKA M;25/01/2018;22/05/2018;117;22/05/2018;MADURO;VERMELHA;1;16;1,05;16,2;
B17 V2;ARRA 15;19/02/2018;22/05/2018;92;22/05/2018;MADURO;VERMELHA;0,13;14,8;1,5;14,6;
A14 V2;BENITAKA M;29/01/2018;25/05/2018;116;25/05/2018;MADURO;VERMELHA;1;17;0,88;16,2;
B02 V1;BENITAKA M;15/01/2018;25/05/2018;130;25/05/2018;MADURO;VERMELHA;1;16,8;0,85;16,2;
B02 V2;BENITAKA M;25/01/2018;25/05/2018;120;25/05/2018;MADURO;VERMELHA;1;15,8;0,94;16,4;
B17 V2;ARRA 15;19/02/2018;25/05/2018;95;25/05/2018;MADURO;¶MBAR;0,12;15,6;1,39;15,4;
A14 V1;BENITAKA M;05/02/2018;28/05/2018;112;28/05/2018;MADURO;VERMELHA;1;16,8;0,98;16,8;
A14 V2;BENITAKA M;29/01/2018;28/05/2018;119;28/05/2018;MADURO;VERMELHA;0,23;17;0,85;17;
B02 V2;BENITAKA M;25/01/2018;28/05/2018;123;28/05/2018;MADURO;VERMELHA;1;17;0,92;16,9;
B17 V1;ARRA 15;26/02/2018;28/05/2018;91;28/05/2018;MADURO;¶MBAR;0,37;16,2;1,27;16;
B17 V2;ARRA 15;19/02/2018;28/05/2018;98;28/05/2018;MADURO;¶MBAR;0,37;16,4;1,2;16,4;
A14 V1;BENITAKA M;05/02/2018;01/06/2018;116;01/06/2018;MADURO;VERMELHA;1;17,6;0,87;17,4;
B02 V2;BENITAKA M;25/01/2018;01/06/2018;127;01/06/2018;MADURO;VERMELHA;1;17,6;0,83;17,6;
B17 V1;ARRA 15;26/02/2018;01/06/2018;95;01/06/2018;MADURO;¶MBAR;0,6;16,8;1,1;16,8;
B17 V2;ARRA 15;19/02/2018;01/06/2018;102;01/06/2018;MADURO;¶MBAR;0,52;17,4;1,03;16,8;
B17 V1;ARRA 15;26/02/2018;04/06/2018;98;04/06/2018;MADURO;¶MBAR;0,67;17,2;1,1;17,3;
B17 V2;ARRA 15;19/02/2018;04/06/2018;105;04/06/2018;MADURO;¶MBAR;0,58;17,2;1,08;17,1;
B18 V1;BENITAKA M;12/02/2018;04/06/2018;112;04/06/2018;MADURO;VERMELHA;0,9;15,6;0,99;15,1;
A07 V1;ARRA 15;07/03/2018;08/06/2018;93;08/06/2018;MADURO;¶MBAR;0,05;14,8;1,41;14,8;
B17 V1;ARRA 15;26/02/2018;08/06/2018;102;08/06/2018;MADURO;¶MBAR;0,77;17,6;0,98;17,7;
B18 V1;BENITAKA M;12/02/2018;08/06/2018;116;08/06/2018;MADURO;VERMELHA;1;16,8;0,9;16,4;
A07 V1;ARRA 15;07/03/2018;12/06/2018;97;12/06/2018;MADURO;¶MBAR;0,15;15,2;1,2;15,7;
A07 V1;ARRA 15;07/03/2018;14/06/2018;99;14/06/2018;MADURO;¶MBAR;0,17;15,8;1,19;15,9;
A07 V1;ARRA 15;07/03/2018;18/06/2018;103;18/06/2018;MADURO;¶MBAR;0,52;16,4;1,11;16,7;
B18 V2;BENITAKA M;05/03/2018;19/06/2018;106;19/06/2018;MADURO;VERMELHA;0,87;15;1;14,8;
A07 V1;ARRA 15;07/03/2018;22/06/2018;107;22/06/2018;MADURO;¶MBAR;0,68;17,2;0,99;17,2;
B18 V2;BENITAKA M;05/03/2018;22/06/2018;109;22/06/2018;MADURO;VERMELHA;0,93;15,6;1;15,5;
A07 V1;ARRA 15;07/03/2018;25/06/2018;110;25/06/2018;MADURO;¶MBAR;0,83;17,6;0,9;18;
A07 V2;ARRA 15;26/03/2018;26/06/2018;92;26/06/2018;MADURO;¶MBAR;0;13,6;1,68;14;
A13 V1;BENITAKA M;23/03/2018;26/06/2018;95;26/06/2018;MADURO;VERMELHA;0,8;15;1,09;14,5;
A13 V2;BENITAKA M;22/03/2018;26/06/2018;96;26/06/2018;MADURO;VERMELHA;0,83;14;1,1;14,4;
B18 V2;BENITAKA M;05/03/2018;26/06/2018;113;26/06/2018;MADURO;VERMELHA;0,98;16,2;0,97;16,4;
A13 V1;BENITAKA M;23/03/2018;29/06/2018;98;29/06/2018;MADURO;VERMELHA;0,75;14;1;14,1;
A13 V2;BENITAKA M;22/03/2018;29/06/2018;99;29/06/2018;MADURO;VERMELHA;0,55;14;1,1;13,6;
A07 V2;ARRA 15;26/03/2018;02/07/2018;98;02/07/2018;MADURO;¶MBAR;0,22;14,6;1,3;14,9;
A13 V1;BENITAKA M;23/03/2018;02/07/2018;101;02/07/2018;MADURO;VERMELHA;0,5;14,1;0,96;13,8;
A13 V2;BENITAKA M;22/03/2018;03/07/2018;103;03/07/2018;MADURO;VERMELHA;0,62;14;1;14,3;
B10 V1;ARRA 15;04/04/2018;04/07/2018;91;04/07/2018;MADURO;¶MBAR;0,17;15,2;1,48;15,1;
B18 V2;BENITAKA M;05/03/2018;04/07/2018;121;04/07/2018;MADURO;VERMELHA;0,98;17,6;0,78;18;
A07 V2;ARRA 15;26/03/2018;05/07/2018;101;05/07/2018;MADURO;¶MBAR;0,5;16,2;1,18;16,6;
A13 V1;BENITAKA M;23/03/2018;05/07/2018;104;05/07/2018;MADURO;VERMELHA;0,83;15;0,95;15;
A07 V2;ARRA 15;26/03/2018;09/07/2018;105;09/07/2018;MADURO;¶MBAR;0,64;7;1;17;
A13 V1;BENITAKA M;23/03/2018;09/07/2018;108;09/07/2018;MADURO;VERMELHA;0,92;15,4;0,82;15,6;23,8
A13 V2;BENITAKA M;22/03/2018;09/07/2018;109;09/07/2018;MADURO;VERMELHA;0,95;15,4;0,93;15,5;24
B10 V1;ARRA 15;04/04/2018;09/07/2018;96;09/07/2018;MADURO;¶MBAR;0,35;16,4;1,1;16,2;19
A15 V2;RED GLOBE;28/03/2018;10/07/2018;104;10/07/2018;MADURO;ROSADA;0,87;14;0,84;14,6;20,1
A07 V2;ARRA 15;26/03/2018;12/07/2018;108;12/07/2018;MADURO;¶MBAR;0,65;17,4;1;17,4;21,5
A13 V1;BENITAKA M;23/03/2018;12/07/2018;111;12/07/2018;MADURO;VERMELHA;0,88;15;0,78;15,2;24,4
A13 V2;BENITAKA M;22/03/2018;12/07/2018;112;12/07/2018;MADURO;VERMELHA;0,85;15,4;0,82;15,2;25,1
B10 V1;ARRA 15;04/04/2018;12/07/2018;99;12/07/2018;MADURO;¶MBAR;0,45;16,6;1,05;16,7;21
A07 V2;ARRA 15;26/03/2018;16/07/2018;112;16/07/2018;MADURO;¶MBAR;0,93;18;0,93;18,3;26,2
A13 V1;BENITAKA M;23/03/2018;16/07/2018;115;16/07/2018;MADURO;VERMELHA;0,98;16,8;0,77;17;20
A13 V2;BENITAKA M;22/03/2018;16/07/2018;116;16/07/2018;MADURO;VERMELHA;0,97;16,6;0,79;16,6;20
A15 V2;RED GLOBE;28/03/2018;17/07/2018;111;17/07/2018;MADURO;ROSADA;0,83;14,2;0,7;15;17,7
B10 V1;ARRA 15;04/04/2018;17/07/2018;104;17/07/2018;MADURO;¶MBAR;0,77;17,8;1;17,8;18
B 14 V 1;CRIMSON;02/04/2018;19/07/2018;108;19/07/2018;MADURO;VERMELHA;0,82;16,67;0,79;16,4;17
B10 V1;ARRA 15;04/04/2018;20/07/2018;107;20/07/2018;MADURO;¶MBAR;0,75;17,8;0,87;18;18
B10 V1;ARRA 15;04/04/2018;23/07/2018;110;23/07/2018;MADURO;¶MBAR;0,9;18,6;0,85;18,9;17,6
B14 V1;CRIMSON;02/04/2018;23/07/2018;112;23/07/2018;MADURO;VERMELHA;0,97;17;0,78;17;18,1
B 12 V 1;ARRA 15;23/04/2018;24/07/2018;92;24/07/2018;MADURO;¶MBAR;0,6;16,8;1,11;17;17,6
B12  V 2;ARRA 15;20/04/2018;24/07/2018;95;24/07/2018;MADURO;¶MBAR;0,57;16,6;1,16;16,9;18,7
A01 V2;ARRA 15;26/04/2018;25/07/2018;90;25/07/2018;;;0,8;18;1,09;18;18,1
B14 V2;CRIMSON;07/04/2018;25/07/2018;109;25/07/2018;MADURO;VERMELHA;63,33;15,6;0,87;16;18,9
B14 V2;CRIMSON;07/04/2018;25/07/2018;109;25/07/2018;MADURO;ROSADA;0,05;13,4;0,99;14;19,8
B14 V2;CRIMSON;07/04/2018;25/07/2018;109;25/07/2018;MADURO;MESCLADA;0,37;14,8;0,92;15;18,6
B 12 V 1;ARRA 15;23/04/2018;27/07/2018;95;27/07/2018;MADURO;¶MBAR;76.67%;18;0.97;18.2;17,7
B 12 V 2;ARRA 15;20/04/2018;27/07/2018;98;27/07/2018;MADURO;¶MBAR;78.33%;17,2;1,02;17,7;19,1
  B 13 V2,2;BLACK;;30/07/2018;43311;30/07/2018;MADURO;PRETA;;17,8;0,67;17,8;19,7
B 13 V2,3;BLACK;;30/07/2018;43311;30/07/2018;MADURO;PRETA;;18,8;0,58;18,5;19
B14 V1;CRIMSON;02/04/2018;30/07/2018;119;30/07/2018;MADURO;ROSADA;0,9;16,6;0,72;17,1;19,4
B14 V1;CRIMSON;02/04/2018;30/07/2018;119;30/07/2018;MADURO;VERMELHA;1;17,8;0,68;18;17,3
A01 V2;ARRA 15;26/04/2018;31/07/2018;96;31/07/2018;MADURO;¶MBAR;0,95;19;0,99;19;21,2
A01 V2;ARRA 15;26/04/2018;01/08/2018;97;01/08/2018;MADURO;AMARELA;1;23,2;0,73;23,6;23,1
A12 V1;ARRA 15;03/05/2018;01/08/2018;90;01/08/2018;MADURO;¶MBAR;0,13;15;1,41;15;19
A12 V2;ARRA 15;03/05/2018;01/08/2018;90;01/08/2018;MADURO;¶MBAR;0,28;15,8;1,29;16;18
A15 V2;RED GLOBE;28/03/2018;01/08/2018;126;01/08/2018;MADURO;VERMELHA;0,98;17;0,61;17;17,8
A15 V2;RED GLOBE;28/03/2018;01/08/2018;126;01/08/2018;MADURO;ROSADA;0,6;14;0,67;14;18,7
B 12 V 1;ARRA 15;23/04/2018;01/08/2018;100;01/08/2018;MADURO;¶MBAR;1;21;0,87;21;21
B 12 V 2;ARRA 15;20/04/2018;01/08/2018;103;01/08/2018;MADURO;¶MBAR;1;20,6;0,89;21;16,5
A01 V2;ARRA 15;26/04/2018;06/08/2018;102;06/08/2018;MADURO;¶MBAR;0,97;19;0,98;19,6;18
A01 V2;ARRA 15;26/04/2018;06/08/2018;102;06/08/2018;MADURO;¶MBAR;0,98;20,4;1,08;20,9;19
B 12 V 1;ARRA 15;23/04/2018;06/08/2018;105;06/08/2018;MADURO;¶MBAR;0,72;18;0,97;18,3;26
B 12 V 2;ARRA 15;20/04/2018;06/08/2018;108;06/08/2018;MADURO;¶MBAR;0,8;17,8;1;18,3;26
B 14 V 2;CRIMSON;07/04/2018;06/08/2018;121;06/08/2018;MADURO;ROSADA;0,38;15;0,9;15;18
B 14 V 2;CRIMSON;07/04/2018;06/08/2018;121;06/08/2018;MADURO;VERMELHA;0,98;17,4;0,85;18;18
A12 V1;ARRA 15;03/05/2018;07/08/2018;96;07/08/2018;MADURO;¶MBAR;0,52;16,4;1,02;17;18
A12 V2;ARRA 15;03/05/2018;07/08/2018;96;07/08/2018;MADURO;¶MBAR;0,68;17,4;1,01;17;20,4
B 13 V 2,1;BLACK;;07/08/2018;43319;07/08/2018;MADURO;PRETA;;18;0,72;18;18,6
A12 V1;ARRA 15;03/05/2018;09/08/2018;98;09/08/2018;MADURO;¶MBAR;0,52;17;0,99;17;18
A12 V2;ARRA 15;03/05/2018;09/08/2018;98;09/08/2018;MADURO;¶MBAR;0,96;19,4;0,86;20;23,2
A07 V3;THOMPSON;15/05/2018;11/08/2018;88;11/08/2018;MADURO;¶MBAR;0,12;15,8;1,32;15,4;21
A12 V1;ARRA 15;03/05/2018;13/08/2018;102;13/08/2018;MADURO;¶MBAR;0,83;18;0,86;18,3;19
A12 V2;ARRA 15;03/05/2018;13/08/2018;102;13/08/2018;MADURO;¶MBAR;0,78;17,8;0,88;17,9;18,6
A07 V3;THOMPSON;15/05/2018;20/08/2018;97;20/08/2018;MADURO;¶MBAR;0,87;17,8;0,99;18;17
A08 V1;THOMPSON;14/05/2018;20/08/2018;98;20/08/2018;MADURO;¶MBAR;0,62;17,2;0,94;17;17
A08 V2;THOMPSON;14/05/2018;20/08/2018;98;20/08/2018;MADURO;¶MBAR;0,82;18;1,05;18;22
B11 V1;SUGRAONE;21/05/2018;20/08/2018;91;20/08/2018;MADURO;¶MBAR;0,17;13,2;0,47;13;21
B13 V1;SUGRAONE;22/05/2018;20/08/2018;90;20/08/2018;MADURO;¶MBAR;0,38;14,2;0,54;14;17
B15 V1;THOMPSON;23/05/2018;20/08/2018;89;20/08/2018;MADURO;¶MBAR;0,08;14,4;1,29;14;18
B15 V2;THOMPSON;23/05/2018;20/08/2018;89;20/08/2018;MADURO;¶MBAR;;14,2;1,31;14;18
B07 V1.4;SABLE;;21/08/2018;43333;21/08/2018;MADURO;¶MBAR;0,48;17,2;0,75;16,7;24,5
B11 V2;SW35;;21/08/2018;43333;21/08/2018;MADURO;¶MBAR;;15;0,7;13,9;25,5
B11 V2;SW35;;21/08/2018;43333;21/08/2018;MADURO;¶MBAR;;14,4;0,8;14,7;18,75
A07 V3;THOMPSON;15/05/2018;23/08/2018;100;23/08/2018;MADURO;¶MBAR;0,72;17,8;0,93;17,7;18
A08 V2;THOMPSON;14/05/2018;23/08/2018;101;23/08/2018;MADURO;¶MBAR;0,8;17,6;0,96;18;18
A08 V1;THOMPSON;14/05/2018;23/08/2018;101;23/08/2018;MADURO;¶MBAR;0,53;17,2;0,93;17;17,7
B 11 V 1;SUGRAONE;21/05/2018;23/08/2018;94;23/08/2018;MADURO;¶MBAR;0,15;13;0,5;13;18
B 13 V 1;SUGRAONE;22/05/2018;23/08/2018;93;23/08/2018;MADURO;¶MBAR;0,53;14,8;0,48;15;18
B15 V1;THOMPSON;23/05/2018;23/08/2018;92;23/08/2018;MADURO;¶MBAR;0,05;14,2;1,26;14,6;22
B15 V2;THOMPSON;23/05/2018;23/08/2018;92;23/08/2018;MADURO;¶MBAR;0,1;14,2;1,23;15;22
B05 V1;CRIMSON;17/05/2018;23/08/2018;98;23/08/2018;MADURO;VERMELHA;0,08;14,4;1,12;14;18
B05 V2;CRIMSON;15/05/2018;23/08/2018;100;23/08/2018;MADURO;VERMELHA;0,25;14;1;15;17
B07 V1.4;SABLE;14/06/2018;24/08/2018;71;24/08/2018;MADURO;PRETA;0,68;18,2;0,69;17,5;18,1
B16 V2;THOMPSON;29/05/2018;24/08/2018;87;24/08/2018;MADURO;¶MBAR;0;14;1,36;13,8;18,5
A08 V1;THOMPSON;14/05/2018;27/08/2018;105;27/08/2018;MADURO;¶MBAR;0,83;18,4;0,77;18;18,8
A07 V3;THOMPSON;15/05/2018;27/08/2018;104;27/08/2018;MADURO;¶MBAR;0,98;18,2;0,72;19;18
A08 V2;THOMPSON;14/05/2018;27/08/2018;105;27/08/2018;MADURO;¶MBAR;0,87;18,4;0,79;18;17,9
B07 V2.1;SABLE;06/06/2018;27/08/2018;82;27/08/2018;MADURO;PRETA;0,02;15;0,9;14,6;18
A02 V1;SUGRAONE;08/06/2018;28/08/2018;81;28/08/2018;VERDE;VERDE;0;11,8;0,96;11,8;22,3
A02 V2;SUGRAONE;11/06/2018;28/08/2018;78;28/08/2018;VERDE;VERDE;0;11,4;1,18;11;17,2
B05 V2;CRIMSON;15/05/2018;28/08/2018;105;28/08/2018;MADURO;VERMELHA;0,2;15;0,96;15;25,3
B11 V1;SUGRAONE;21/05/2018;28/08/2018;99;28/08/2018;MADURO;¶MBAR;0,32;14;0,41;14,2;21
B11 V2;ARRA 30;;28/08/2018;43340;28/08/2018;MADURO;¶MBAR;0;14;0,44;14,4;19
B11 V2;SW35;;28/08/2018;43340;28/08/2018;MADURO;¶MBAR;0,05;15,6;0,57;15,5;17
B13 V1;SUGRAONE;22/05/2018;28/08/2018;98;28/08/2018;MADURO;¶MBAR;0,67;15;0,44;15,1;17
B5 V01;CRIMSON;17/05/2018;28/08/2018;103;28/08/2018;MADURO;VERMELHA;0,3;15,4;0,9;15;20
B07 V2.2;SABLE;25/05/2018;28/08/2018;95;28/08/2018;MADURO;PRETA;0,87;18;0,62;18;21
B15 V1;THOMPSON;23/05/2018;29/08/2018;98;29/08/2018;MADURO;¶MBAR;0,28;16,6;0,99;16,3;17,4
B15 V2;THOMPSON;23/05/2018;29/08/2018;98;29/08/2018;MADURO;¶MBAR;0,22;16;1,11;16;17
